"","taxon","lfc_(Intercept)","lfc_treatmentant","lfc_treatmentbeetle","se_(Intercept)","se_treatmentant","se_treatmentbeetle","W_(Intercept)","W_treatmentant","W_treatmentbeetle","p_(Intercept)","p_treatmentant","p_treatmentbeetle","q_(Intercept)","q_treatmentant","q_treatmentbeetle","diff_(Intercept)","diff_treatmentant","diff_treatmentbeetle","passed_ss_(Intercept)","passed_ss_treatmentant","passed_ss_treatmentbeetle"
"6","1253c7a4636562f33ebc360882fa65da",0.816020269672921,-1.9852893910196,-1.05885035671701,0.414414276890441,0.552281241267914,0.618936024735825,1.96909304330906,-3.59470726628669,-1.71075897087902,0.0746472531301074,0.00420876722699026,0.115142583276681,0.255895135870376,0.0378789050429124,0.259070812372533,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
"10","1c2003e39498b8caefe6e1f3a9f36476",2.74565984639487,-3.34708889171616,-3.37026957656364,0.268880382357025,0.47974563645075,0.553556924575572,10.2114547083213,-6.97679903141708,-6.08838843294702,2.05141225276336e-08,3.12039300008985e-06,1.56808849682259e-05,5.53881308246108e-07,8.4250611002426e-05,0.000423383894142099,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"23","f8aeec3c1ff0f4e7e1c829e4db0618d9",-1.72932529156328,2.18413430878667,1.98443337952996,0.271436411380928,0.466860295317912,0.675423052034584,-6.37101442199801,4.67834667177975,2.9380598923182,8.12914991568284e-05,0.000869697692455369,0.0148346915661403,0.00109743523861718,0.0117409188481475,0.0605608508827809,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
"25","38c27ceaed634984c1225a82648cf571",0.684204524406013,-0.460951927902162,-2.42783822988645,0.354651565845657,0.548679881235909,0.555831357337995,1.92923023693564,-0.840110861845093,-4.36794037945957,0.0758207809986299,0.416030116999335,0.000761355151709538,0.255895135870376,0.702050822436378,0.0102782945480788,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
"27","6376ea6dab7d0fde3cd66f53b57e1484",-0.95127983945942,1.20579082607199,0.832861779868643,0.254268691790621,0.552200014601897,0.539345409944463,-3.74123858018177,2.18361244872711,1.54420852483829,0.00083719332028568,0.0375299801584274,0.133766081405439,0.00753473988257112,0.173934263108137,0.277821861380526,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
